task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
112	cd/dc5e50	621150	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 01:54:17.453	1h 28m 30s	58m 24s	439.7%	107.2 GB	113.6 GB	176.8 GB	174.5 GB
127	a9/bbf57b	621188	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 02:43:02.834	40m 5s	40m 2s	612.3%	48 GB	50.2 GB	155.3 GB	137 GB
126	4e/7dec12	621187	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 02:41:52.762	41m 30s	41m 26s	556.5%	34.4 GB	37.4 GB	145.1 GB	127.9 GB
115	04/a1f50a	621164	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 01:59:32.547	1h 23m 55s	52m 32s	438.5%	104.4 GB	112.2 GB	147.1 GB	129.9 GB
131	5a/af1f4c	621195	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 02:46:42.851	36m 45s	36m 44s	610.1%	61.7 GB	66.2 GB	137.4 GB	120.1 GB
130	6a/08dc95	621192	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 02:43:17.733	40m 15s	40m 9s	637.0%	63 GB	66.8 GB	174.9 GB	172.5 GB
110	bb/cdb675	621149	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 01:54:12.474	1h 30m	1h 59s	373.3%	96 GB	98 GB	139.8 GB	122.5 GB
116	55/ba3037	621165	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 01:59:37.509	1h 26m 35s	55m	425.4%	113.5 GB	121.1 GB	139 GB	120.7 GB
133	bd/550761	621198	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 02:47:47.841	39m 40s	39m 37s	640.8%	76.2 GB	79.7 GB	172.9 GB	170.6 GB
114	13/e411c8	621163	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 01:58:37.482	1h 29m 6s	1h 1m 23s	427.7%	116.5 GB	122.2 GB	184.5 GB	182.1 GB
